CNTD(INFO_DM_CASE_ID)-value,CNTD(INFO_DM_CASE_ID)-alias,WEEK(Execution Docket Date)-value,WEEK(Execution Docket Date)-alias,WEEK(Execution Docket Date)-[SMY PRCS JDGMNTS EXECUTIONS  (local copy)].[twk:Calc-Last Date Docket Entry  (copy):ok]-value,WEEK(Execution Docket Date)-[SMY PRCS JDGMNTS EXECUTIONS  (local copy)].[twk:Calc-Last Date Docket Entry  (copy):ok]-alias,CNTD(INFO_DM_CASE_ID (copy))-alias,MONTH(calc-color)-alias
58,58,2021-12-19 00:00:00,12/19/21,2022-02-27 00:00:00,2/27/22,23,02/2022
64,64,2021-12-12 00:00:00,12/12/21,2022-02-20 00:00:00,2/20/22,80,02/2022
60,60,2021-12-05 00:00:00,12/5/21,2022-02-13 00:00:00,2/13/22,70,02/2022
91,91,2021-11-28 00:00:00,11/28/21,2022-02-06 00:00:00,2/6/22,94,02/2022
55,55,2021-11-21 00:00:00,11/21/21,2022-01-30 00:00:00,1/30/22,72,02/2022
95,95,2021-11-14 00:00:00,11/14/21,2022-01-30 00:00:00,1/30/22,28,01/2022
61,61,2021-11-07 00:00:00,11/7/21,2022-01-23 00:00:00,1/23/22,98,01/2022
98,98,2021-10-31 00:00:00,10/31/21,2022-01-16 00:00:00,1/16/22,79,01/2022
98,98,2021-10-24 00:00:00,10/24/21,2022-01-09 00:00:00,1/9/22,67,01/2022
75,75,2021-10-17 00:00:00,10/17/21,2022-01-02 00:00:00,1/2/22,52,01/2022
95,95,2021-10-10 00:00:00,10/10/21,2021-12-26 00:00:00,12/26/21,71,12/2021
103,103,2021-10-03 00:00:00,10/3/21,2021-12-19 00:00:00,12/19/21,58,12/2021
98,98,2021-09-26 00:00:00,9/26/21,2021-12-12 00:00:00,12/12/21,64,12/2021
109,109,2021-09-19 00:00:00,9/19/21,2021-12-05 00:00:00,12/5/21,60,12/2021
137,137,2021-09-12 00:00:00,9/12/21,2021-11-28 00:00:00,11/28/21,51,12/2021
104,104,2021-09-05 00:00:00,9/5/21,2021-11-28 00:00:00,11/28/21,40,11/2021
119,119,2021-08-29 00:00:00,8/29/21,2021-11-21 00:00:00,11/21/21,55,11/2021
77,77,2021-08-22 00:00:00,8/22/21,2021-11-14 00:00:00,11/14/21,95,11/2021
102,102,2021-08-15 00:00:00,8/15/21,2021-11-07 00:00:00,11/7/21,61,11/2021
70,70,2021-08-08 00:00:00,8/8/21,2021-10-31 00:00:00,10/31/21,98,11/2021
132,132,2021-08-01 00:00:00,8/1/21,2021-10-24 00:00:00,10/24/21,98,10/2021
82,82,2021-07-25 00:00:00,7/25/21,2021-10-17 00:00:00,10/17/21,75,10/2021
55,55,2021-07-18 00:00:00,7/18/21,2021-10-10 00:00:00,10/10/21,95,10/2021
65,65,2021-07-11 00:00:00,7/11/21,2021-10-03 00:00:00,10/3/21,103,10/2021
59,59,2021-07-04 00:00:00,7/4/21,2021-09-26 00:00:00,9/26/21,21,10/2021
80,80,2021-06-27 00:00:00,6/27/21,2021-09-26 00:00:00,9/26/21,77,09/2021
94,94,2021-06-20 00:00:00,6/20/21,2021-09-19 00:00:00,9/19/21,109,09/2021
73,73,2021-06-13 00:00:00,6/13/21,2021-09-12 00:00:00,9/12/21,137,09/2021
92,92,2021-06-06 00:00:00,6/6/21,2021-09-05 00:00:00,9/5/21,104,09/2021
79,79,2021-05-30 00:00:00,5/30/21,2021-08-29 00:00:00,8/29/21,63,09/2021
59,59,2021-05-23 00:00:00,5/23/21,2021-08-29 00:00:00,8/29/21,56,08/2021
57,57,2021-05-16 00:00:00,5/16/21,2021-08-22 00:00:00,8/22/21,77,08/2021
97,97,2021-05-09 00:00:00,5/9/21,2021-08-15 00:00:00,8/15/21,102,08/2021
75,75,2021-05-02 00:00:00,5/2/21,2021-08-08 00:00:00,8/8/21,70,08/2021
75,75,2021-04-25 00:00:00,4/25/21,2021-08-01 00:00:00,8/1/21,132,08/2021
75,75,2021-04-18 00:00:00,4/18/21,2021-07-25 00:00:00,7/25/21,82,07/2021
58,58,2021-04-11 00:00:00,4/11/21,2021-07-18 00:00:00,7/18/21,55,07/2021
86,86,2021-04-04 00:00:00,4/4/21,2021-07-11 00:00:00,7/11/21,65,07/2021
85,85,2021-03-28 00:00:00,3/28/21,2021-07-04 00:00:00,7/4/21,59,07/2021
61,61,2021-03-21 00:00:00,3/21/21,2021-06-27 00:00:00,6/27/21,37,07/2021
76,76,2021-03-14 00:00:00,3/14/21,2021-06-27 00:00:00,6/27/21,43,06/2021
103,103,2021-03-07 00:00:00,3/7/21,2021-06-20 00:00:00,6/20/21,94,06/2021
91,91,2021-02-28 00:00:00,2/28/21,2021-06-13 00:00:00,6/13/21,73,06/2021
