CNTD(INFO_DM_CASE_ID)-value,CNTD(INFO_DM_CASE_ID)-alias,COUNTY-value,COUNTY-alias,COUNTY-[SMY PRCS JDGMNTS EXECUTIONS  (local copy)].[none:Calculation_1686598103769194499:nk]-value,COUNTY-[SMY PRCS JDGMNTS EXECUTIONS  (local copy)].[none:Calculation_1686598103769194499:nk]-alias,CNTD(INFO_DM_CASE_ID (copy))-alias,COUNTY (copy)-alias,MONTH(calc-color)-alias,population,per capita,,pop,,https://www.census.gov/data/tables/time-series/demo/popest/2020s-counties-total.html,,,,
0,0,0,0,%null%,TBD,4,%null%,Apr-23,#N/A,#N/A,,,,,,,,
0,0,0,0,WORCESTER,WOR,81,WORCESTER,Mar-23,862927,9.386657272,,,,,,,,
0,0,0,0,SUFFOLK,SUF,92,SUFFOLK,Mar-23,766381,12.00447297,,,,,,,,
0,0,0,0,PLYMOUTH,PLY,59,PLYMOUTH,Mar-23,533069,11.06798557,,,,,,,,
0,0,0,0,NORFOLK,NOR,122,NORFOLK,Mar-23,725531,16.81527047,,,,,,,,
0,0,0,0,NANTUCKET,NAN,2,NANTUCKET,Mar-23,14421,13.86866375,,,,,,,,
0,0,0,0,MIDDLESEX,MID,118,MIDDLESEX,Mar-23,1617105,7.29699061,,,,,,,,
0,0,0,0,HAMPSHIRE,HPS,7,HAMPSHIRE,Mar-23,162588,4.305360789,,,,,,,,
0,0,0,0,HAMPDEN,HPD,77,HAMPDEN,Mar-23,461041,16.70133459,,,,,,,,
0,0,0,0,FRANKLIN,FRA,6,FRANKLIN,Mar-23,70894,8.463339634,,,,,,,,
0,0,0,0,ESSEX,ESS,95,ESSEX,Mar-23,806765,11.77542407,,,,,,,,
0,0,0,0,BRISTOL,BRI,77,BRISTOL,Mar-23,580068,13.27430577,,,,,,,,
0,0,0,0,BERKSHIRE,BER,19,BERKSHIRE,Mar-23,127859,14.86011935,,,,,,,,
0,0,0,0,BARNSTABLE,BAR,10,BARNSTABLE,Mar-23,232457,4.301870884,,,,,,,,
0,0,0,0,%null%,TBD,3,%null%,Mar-23,#N/A,#N/A,,,,,,,,
0,0,0,0,WORCESTER,WOR,62,WORCESTER,Feb-23,862927,7.184848776,,,,,,,,
0,0,0,0,SUFFOLK,SUF,111,SUFFOLK,Feb-23,766381,14.48365761,,,,,,,,
0,0,0,0,PLYMOUTH,PLY,50,PLYMOUTH,Feb-23,533069,9.379648788,,,,,,,,
0,0,0,0,NORFOLK,NOR,66,NORFOLK,Feb-23,725531,9.096785665,,,,,,,,
0,0,0,0,MIDDLESEX,MID,128,MIDDLESEX,Feb-23,1617105,7.915379644,,,,,,,,
0,0,0,0,HAMPSHIRE,HPS,5,HAMPSHIRE,Feb-23,162588,3.075257707,,,,,,,,
0,0,0,0,HAMPDEN,HPD,71,HAMPDEN,Feb-23,461041,15.39993189,,,,,,,,
0,0,0,0,FRANKLIN,FRA,4,FRANKLIN,Feb-23,70894,5.642226423,,,,,,,,
0,0,0,0,ESSEX,ESS,97,ESSEX,Feb-23,806765,12.02332773,,,,,,,,
0,0,0,0,DUKES,DUK,1,DUKES,Feb-23,20868,4.792026069,,,,,,,,
0,0,0,0,BRISTOL,BRI,81,BRISTOL,Feb-23,580068,13.9638801,,,,,,,,
0,0,0,0,BERKSHIRE,BER,18,BERKSHIRE,Feb-23,127859,14.07800781,,,,,,,,
0,0,0,0,BARNSTABLE,BAR,9,BARNSTABLE,Feb-23,232457,3.871683795,,,,,,,,
0,0,0,0,%null%,TBD,4,%null%,Feb-23,#N/A,#N/A,,,,,,,,
